episode,length,novelty,dmpl_estimate
0,60,7.772543,-0.4812971115112319
1,60,12.249914,11.443934702873229
2,60,9.895397,-2.2487596035003676
3,60,8.418355,6.514175796508788
4,60,9.17285,-1.5690079689025893
5,60,9.861026,3.4737988948822007
6,60,9.47674,20.045174026489256
7,60,8.548377,-16.6
8,60,10.89615,-3.2804039478302016
9,60,9.35365,-16.6
10,60,8.3579645,-8.967031574249269
11,60,10.186375,-16.6
12,60,8.948359,-0.8070722579956069
13,60,10.390956,-3.1045118331909194
14,60,9.523321,-16.6
15,60,7.585547,16.295946502685545
16,60,13.375937,6.263288223743437
17,60,7.6144633,-0.6323233604431167
18,60,8.141979,-16.6
19,60,10.806965,-16.6
20,60,9.490546,21.084923410415648
21,60,11.78205,-10.281724071502687
22,60,7.894427,-0.618185138702394
23,60,9.719215,-1.55645046234131
24,60,11.023066,13.006950283050536
25,60,10.197965,-16.6
26,60,16.96494,3.540324532985686
27,60,13.294129,-16.6
28,60,10.626131,15.879706406593321
29,60,10.67795,15.509412550926207
30,60,9.019506,-1.0194424152374282
31,60,9.058108,-0.982104873657228
32,60,10.046545,5.059522652626036
33,60,8.906456,-16.6
34,60,12.821602,-16.6
35,60,10.348094,-2.971102333068849
36,60,11.056015,-16.6
37,60,13.766077,-6.619630789756776
38,60,8.364988,7.243695521354674
39,60,9.050606,-2.5316742420196547
40,60,8.313151,-2.61704239845276
41,60,9.042067,-9.353866314888002
42,60,9.735231,4.082914257049559
43,60,7.335356,6.972998046874999
44,60,10.622133,18.005470299720763
45,60,11.25043,-4.990334844589235
46,60,15.878489,2.688133084774016
47,60,8.628839,-9.000370836257936
48,60,8.33019,5.081997776031493
49,60,10.573938,-16.6
